lib32-brotli (1.1.0-1)
lib32-bzip2 (1.0.8-4)
lib32-curl (8.18.0-4)
lib32-dbus (1.16.2-1)
lib32-e2fsprogs (1.47.3-2)
lib32-expat (2.7.4-1)
lib32-fontconfig (2:2.17.1-1)
lib32-freetype2 (2.14.1-1)
lib32-gcc-libs (15.2.1+r604+g0b99615a8aef-1)
lib32-glib2 (2.86.4-1)
lib32-glibc (2.43+r5+g856c426a7534-1)
lib32-gmp (6.3.0-2)
lib32-gnutls (3.8.12-1)
lib32-icu (78.2-1)
lib32-json-c (0.18-2)
lib32-keyutils (1.6.3-2)
lib32-krb5 (1.21.3-1)
lib32-libdisplay-info (0.3.0-1)
lib32-libdrm (2.4.131-1)
lib32-libelf (0.194-1)
lib32-libffi (3.5.2-1)
lib32-libgcrypt (1.12.1-1)
lib32-libglvnd (1.7.0-1)
lib32-libgpg-error (1.59-1)
lib32-libidn2 (2.3.8-1)
lib32-libldap (2.6.12-1)
lib32-libnghttp2 (1.68.0-1)
lib32-libnghttp3 (1.15.0-1)
lib32-libngtcp2 (1.20.0-1)
lib32-libnm (1.54.3-1)
lib32-libpciaccess (0.18.1-1)
lib32-libpipewire (1:1.4.10-1)
lib32-libpng (1.6.55-1)
lib32-libpsl (0.21.5-1)
lib32-libssh2 (1.11.1-1)
lib32-libtasn1 (4.21.0-1)
lib32-libunistring (1.3-1)
lib32-libva (2.22.0-1)
lib32-libx11 (1.8.13-1)
lib32-libxau (1.0.12-1)
lib32-libxcb (1.17.0-1)
lib32-libxcrypt (4.5.2-1)
lib32-libxcrypt-compat (4.5.2-1)
lib32-libxdmcp (1.1.5-1)
lib32-libxext (1.3.7-1)
lib32-libxfixes (6.0.1-2)
lib32-libxinerama (1.1.6-1)
lib32-libxml2 (2.15.1-4)
lib32-libxshmfence (1.3.3-1)
lib32-libxss (1.2.4-2)
lib32-libxxf86vm (1.1.5-2)
lib32-llvm-libs (1:21.1.8-1)
lib32-lm_sensors (1:3.6.2-2)
lib32-mesa (1:25.3.5-1)
lib32-ncurses (6.6-1)
lib32-nettle (3.10.2-1)
lib32-nspr (4.38.2-1)
lib32-nss (3.121-1)
lib32-openssl (1:3.6.1-1)
lib32-p11-kit (0.26.2-1)
lib32-pcre2 (10.47-1)
lib32-pipewire (1:1.4.10-1)
lib32-spirv-tools (1:1.4.341.0-1)
lib32-sqlite (3.51.2-1)
lib32-systemd (259.1-1)
lib32-util-linux (2.41.3-1)
lib32-vulkan-icd-loader (1.4.341.0-1)
lib32-vulkan-mesa-implicit-layers (1:25.3.5-1)
lib32-vulkan-radeon (1:25.3.5-1)
lib32-wayland (1.24.0-1)
lib32-xcb-util-keysyms (0.4.1-2)
lib32-xz (5.8.2-1)
lib32-zlib (1.3.2-1)
lib32-zstd (1.5.7-2)
libadwaita (1:1.8.4-1)
libarchive (3.8.5-1)
libasan (15.2.1+r604+g0b99615a8aef-1)
libass (0.17.4-1)
libassuan (3.0.0-1)
libasyncns (1:0.8+r3+g68cd5af-3)
libatomic (15.2.1+r604+g0b99615a8aef-1)
libavc1394 (0.5.4-7)
libavif (1.3.0-5)
libavtp (0.2.0-3)
libayatana-appindicator (0.5.94-1)
libayatana-indicator (0.9.4-1)
libb2 (0.98.1-3)
libbluray (1.4.0-2)
libbpf (1.6.2-1)
libbs2b (3.1.0-10)
libbsd (0.12.2-2)
libcaca (0.99.beta20-6)
libcanberra (1:0.30+r2+gc0620e4-6)
libcap (2.77-1)
libcap-ng (0.9-1)
libcdio (2.3.0-1)
libcdio-paranoia (10.2+2.0.2-1)
libcloudproviders (0.4.0-1)
libcolord (1.4.8-1)
libcups (2:2.4.16-2)
libcurl-gnutls (8.18.0-3)
libdaemon (0.14-6)
libdatrie (0.2.14-1)
libdbusmenu-glib (18.10.20180917-1)
libdbusmenu-gtk3 (18.10.20180917-1)
libdc1394 (2.2.7-1)
libdca (0.0.7-2)
libde265 (1.0.16-2)
libdecor (0.2.5-1)
libdeflate (1.25-1)
libdisplay-info (0.3.0-1)
libdovi (3.3.2-1)
libdrm (2.4.131-1)
libdv (1.0.0-11)
libdvdnav (7.0.0-1)
libdvdread (7.0.1-1)
libebur128 (1.2.6-2)
libedit (20250104_3.1-1)
libei (1.5.0-1)
libelf (0.194-1)
libepoxy (1.5.10-3)
libevdev (1.13.6-1)
libevent (2.1.12-5)
libexif (0.6.25-1)
libfdk-aac (2.0.3-1)
libffi (3.5.2-1)
libfontenc (1.1.9-1)
libfreeaptx (0.2.2-1)
libfyaml (0.9.5-1)
libgcc (15.2.1+r604+g0b99615a8aef-1)
libgcrypt (1.12.1-1)
libgee (0.20.8-1)
libgfortran (15.2.1+r604+g0b99615a8aef-1)
libglvnd (1.7.0-3)
libgme (0.6.4-1)
libgomp (15.2.1+r604+g0b99615a8aef-1)
libgpg-error (1.59-1)
libgsf (1.14.55-1)
libgtop (2.41.3-2)
libgudev (238-3)
libhandy (1.8.3-2)
libice (1.1.2-1)
libidn2 (2.3.8-1)
libiec61883 (1.2.0-9)
libimobiledevice (1.4.0-2)
libimobiledevice-glue (1.3.2-1)
libinih (62-2)
libinput (1.30.1-1)
libisl (0.27-1)
libjpeg-turbo (3.1.3-1)
libjxl (0.11.2-2)
libksba (1.6.8-1)
liblc3 (1.1.3-2)
libldac (2.0.2.3-2)
libldap (2.6.12-1)
libliftoff (0.5.0-1)
liblqr (0.4.3-1)
liblrdf (0.6.1-5)
liblsan (15.2.1+r604+g0b99615a8aef-1)
libltc (1.3.2-2)
libmakepkg-dropins (20-1)
libmanette (0.2.13-1)
libmd (1.1.0-2)
libmicrodns (0.2.0-2)
libmm-glib (1.24.2-1)
libmnl (1.0.5-2)
libmodplug (0.8.9.0-6)
libmpc (1.3.1-2)
libmpcdec (1:0.1+r475-6)
libmpdclient (2.23-1)
libmysofa (1.3.3-1)
libndp (1.9-1)
libnetfilter_conntrack (1.0.9-2)
libnewt (0.52.25-2)
libnfnetlink (1.0.2-2)
libnftnl (1.3.1-1)
libnghttp2 (1.68.0-1)
libnghttp3 (1.15.0-1)
libngtcp2 (1.20.0-1)
libnice (0.1.23-1)
libnl (3.12.0-1)
libnm (1.54.3-1)
libnotify (0.8.8-1)
libnsl (2.0.1-1)
libobjc (15.2.1+r604+g0b99615a8aef-1)
libogg (1.3.6-1)
libopenmpt (0.8.4-1)
libopenraw (0.3.7-2)
libp11-kit (0.26.2-1)
libpcap (1.10.6-1)
libpciaccess (0.18.1-2)
libpgm (5.3.128-3)
libpipewire (1:1.4.10-2)
libplacebo (7.360.0-2)
libplist (2.7.0-3)
libpng (1.6.55-1)
libproxy (0.5.12-1)
libpsl (0.21.5-2)
libpulse (17.0+r98+gb096704c0-1)
libpwquality (1.4.5-7)
libquadmath (15.2.1+r604+g0b99615a8aef-1)
libraqm (0.10.4-1)
libraw1394 (2.1.2-4)
librsvg (2:2.61.4-1)
librsync (1:2.3.4-2)
libsamplerate (0.2.2-3)
libsasl (2.1.28-5)
libseccomp (2.6.0-1)
libsecret (0.21.7-1)
libshout (1:2.4.6-5)
libsigc++ (2.12.1-2)
libsigc++-3.0 (3.8.0-1)
libsixel (1.10.5-1)
libsm (1.2.6-1)
libsndfile (1.2.2-4)
libsodium (1.0.20-1)
libsoup (2.74.3-4)
libsoup3 (3.6.6-1)
libsoxr (0.1.3-4)
libsrtp (1:2.7.0-1)
libssh (0.12.0-1)
libssh2 (1.11.1-1)
libstdc++ (15.2.1+r604+g0b99615a8aef-1)
libstemmer (3.0.1-1)
libsysprof-capture (49.0-2)
libtasn1 (4.21.0-1)
libtatsu (1.0.5-1)
libteam (1.32-3)
libthai (0.1.30-1)
libtheora (1.2.0-1)
libtiff (4.7.1-1)
